"Algoritmo","Hiperparâmetro","Tipo","Valor atual","Faixa proposta","","","Descrição"
"Operon","population_size","Inteiro","500","100–2000","","","Controla o tamanho da população e a diversidade da busca."
"","pool_size","Inteiro","500","100–2000","","","Define o tamanho do conjunto de indivíduos utilizado na evolução."
"","generations","Inteiro","200","50–1000","","","Define o número de gerações e, consequentemente, o orçamento evolutivo."
"","crossover_probability","Contínuo","0.9","0,50–1,00","","","Controla a probabilidade de aplicação do crossover."
"","mutation_probability","Contínuo","0.3","0,01–0,50","","","Controla a probabilidade de mutação dos indivíduos."
"","optimizer_iterations","Inteiro","100","10–500","","","Controla o número de iterações da otimização dos parâmetros contínuos."
"","max_depth","Inteiro","10","3–20","","","Limita a profundidade das expressões."
"","max_length","Inteiro","50","10–100","","","Limita o tamanho máximo das expressões."
"","tournament_size","Inteiro","5","2–10","","","Controla a pressão de seleção por torneio."
"GOMEA","d","Inteiro","5","—","","","Controla  a profundidade máxima"
"","pop","Inteiro","500","100–2000","","","Define o tamanho da população."
"","fset","","[""""""+,-,*,/,sin,log,sqrt""""""]","","","",""
"","g","Inteiro","200","50–1000","","","Define o número de gerações da busca."
"","t","Inteiro","-1","—","","","Limite de tempo (desativado)"
"","e","Inteiro","-1","—","","","Critério de parada (desativado)"
"GPZGD","pop_size","Inteiro","500","100–2000","","","Controla o tamanho da população."
"","generations","Inteiro","200","50–1000","","","Define o número de gerações."
"QLattice","total_models","Inteiro","100000","10000–500000","","","Define o orçamento total de modelos avaliados durante a busca."
"","models_per_sample","Inteiro","10","1–50","","","Define quantos modelos são obtidos em cada amostragem."
"","threads","Inteiro","1","—","","","Controla o paralelismo computacional e deve ser mantido constante para comparação justa."
"PySR","population_size","Inteiro","200","50–1000","","","Define o número de indivíduos por população."
"","populations","Inteiro","10","1–30","","","Define o número de populações independentes."
"","niterations","Inteiro","50","50–1000","","","Define o orçamento da busca evolutiva."
"","binary_operators","","[""""+"""",""""-"""",""""*"""",""""/""""]","","","","operadores binários"
"","unary_operators","","[""""exp"""",""""sin"""",""""log""""]","","","","operadores unários"
"","maxsize","Inteiro","50","10–100","","","Limita o tamanho máximo das expressões."
"","maxdepth","Inteiro","10","3–20","","","Limita a profundidade das expressões."
"","crossover_probability","Contínuo","0.9","0,50–1,00","","","Controla a probabilidade de crossover."
"","optimizer_iterations","Inteiro","50","10–500","","","Define o número de iterações para otimização dos parâmetros."
"","optimizer_nrestarts","Inteiro","2","1–10","","","Define o número de reinicializações da otimização."
"","tournament_selection_n","Inteiro","5","2–10","","","Define o número de indivíduos considerados no torneio de seleção."
"GSGP","pop_size","Inteiro","500","100–2000","","","Controla o tamanho da população."
"","n_iter","Inteiro","10000","1000–20000","","","Número de iterações evolutivas"
"","p_inflate","Contínuo","0.5","0–1","","","Probabilidade de expansão da árvore (controle de crescimento)"
"","ms_lower","Contínuo","0","0–1","","","Define o limite inferior do parâmetro de escala utilizado pelo método."
"","ms_upper","Contínuo","1","0,1–2","","","Define o limite superior do parâmetro de escala utilizado pelo método."
"uDSR","generations","Inteiro","20","10-100","","","O número de gerações (iterações) que o algoritmo vai rodar"
"","p_crossover","Contínuo","0.5","0,1-0,9","","","probabilidade de ocorrer cruzamento entre os indivíduos em cada geração."
"","p_mutate","Contínuo","0.5","0,1-0,9","","","probabilidade de ocorrer mutação."
"","tournament_size","Inteiro","5","[2,10]","","","tamanho do torneio usado na seleção dos melhores indivíduos"
