"","","","","",""
"","","","","",""
"","Algoritmo","Família / Paradigma","Representação","Estratégia principal","Justificativa para inclusão"
"","Operon","Programação Genética (GP)","Árvores","Busca evolutiva + otimização numérica dos coeficientes","Baseline evolutivo moderno, com forte desempenho em benchmarks de SR e mecanismo de otimização de constantes. (PubMed Central (PMC))"
"","PySR","Programação Genética / Evolutiva","Árvores","Busca evolutiva multi-população + seleção por desempenho e complexidade","Método amplamente utilizado e um dos principais representantes atuais de GP para SR; permite controlar explicitamente o compromisso entre precisão e complexidade. (PubMed Central (PMC))"
"","GOMEA (GP-GOMEA)","Algoritmo Evolutivo / GP","Estruturas de GP","Gene-pool Optimal Mixing + linkage learning","Representa uma estratégia evolutiva baseada em aprendizado de dependências entre componentes da solução, sendo uma alternativa importante ao GP convencional. (arXiv)"
"","GSGP","Genetic Programming Semântica","Árvores / espaço semântico","Evolução baseada no comportamento semântico das expressões","Permite comparar GP estrutural com uma abordagem que realiza a busca considerando o efeito das expressões sobre os dados, sendo uma família importante de GP semântico [https://arxiv.org/pdf/2106.04034]."
"","GPZDG","GP + Otimização Numérica","Árvores","GP tradicional + descida de gradiente estocástico para ajuste de coeficientes","Representa uma abordagem híbrida evolutiva + gradiente, permitindo avaliar o impacto da otimização contínua dos parâmetros dentro da busca simbólica. (PubMed Central (PMC))"
"","QLattice","Evolutivo / Graph-based","Grafos","Busca probabilística de estruturas + ajuste dos modelos","Introduz uma representação baseada em grafos e uma estratégia diferente da GP tradicional, sendo particularmente relevante para comparar estruturas alternativas de representação. (arXiv)"
"","uDSR","Neural + Evolutivo","Programas / estruturas simbólicas","Simplificação recursiva + busca guiada por redes neurais + GP","Representa uma abordagem híbrida moderna que combina aprendizado profundo e busca evolutiva, permitindo comparar paradigmas tradicionais e neurais. (PubMed Central (PMC))"
"","TPSR","Transformer / Neural SR","Sequências / expressões","Transformer para geração de expressões simbólicas","Representa métodos baseados em Transformers, permitindo avaliar uma alternativa neural às abordagens evolutivas. O método está incluído no SRBench 2025. (GitHub), https://openreview.net/pdf?id=0rVXQEeFEL"
"","DySymNet","Neural Symbolic Regression","Rede simbólica dinâmica","Aprendizado de arquitetura e funções simbólicas","Representa uma abordagem baseada em redes neurais simbólicas, permitindo investigar o contraste entre busca evolutiva e otimização baseada em aprendizado."
"","LLM-SR","LLM + Evolutivo","Programas / expressões","LLM para geração de candidatos + busca/evolução","Representa a nova geração de métodos que utilizam Large Language Models para descoberta de equações. O LLM-SR foi apresentado como trabalho oral no ICLR 2025. (GitHub)"
"","RAG-SR","LLM / Neural + Evolutivo","Árvores / expressões","Geração aumentada por recuperação + construção evolutiva de características","https://openreview.net/pdf?id=NdHka08uWn"
